Country code,Country name,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
PAK,PAKISTAN,20.7,20.7,22.5,22.5,22.2,22.2,22.5,21.1,21.3,21.3,21.3,21.6,21.6,,,,2.3,2.3,,,,,,,,10.1
PAN,PANAMA,19.3,8.5,8.5,8.5,8.5,8.5,16.7,16.7,16.7,16.7,16.7,9.9,9.9,9.9,9.9,,9.7,9.7,9.7,,,,,,,7.5
PER,PERU,22.3,22.3,21.5,21.5,27.5,27.5,29.2,29.2,29.2,18.3,18.3,18.3,18.3,18.3,20.0,10.8,10.8,10.8,10.8,,,,,,,5.6
PHL,PHILIPPINES,27.2,27.3,22.9,22.9,22.1,21.0,20.5,20.5,15.3,15.7,15.3,17.8,17.8,17.8,11.3,12.4,12.4,11.1,10.8,,,,,,,9.1
PLW,PALAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,
PNG,PAPUA NEW GUINEA,2.7,2.7,2.7,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.8,1.8,1.8,1.8,1.8,0.0,,,,,,,0.0
POL,POLAND,24.1,24.3,23.7,23.7,20.0,20.0,20.2,20.4,20.4,20.4,20.2,20.2,20.2,20.2,13.0,13.0,13.0,13.0,13.0,,,,,,,13.5
PRK,"KOREA, D.P.R.O.",16.3,15.6,15.6,15.6,15.6,15.6,20.1,20.1,20.1,20.1,20.1,,20.1,20.1,20.1,20.1,20.1,20.1,20.1,,,,,,,21.1
PRT,PORTUGAL,31.3,31.3,28.7,28.7,27.4,27.4,28.3,28.3,21.3,21.3,19.1,19.1,19.1,18.7,17.4,18.7,13.0,13.0,13.0,,,,,,,7.6
PRY,PARAGUAY,15.0,15.0,12.5,12.5,12.5,12.5,12.5,10.0,10.0,10.0,10.0,10.0,2.5,2.5,2.5,2.5,,2.5,2.5,,,,,,,5.6
